S.no,Brand,Model,Specifications / Review link,Price ,Comment,Category,Type,Links,Region,Polarity,Agreement,Subjectivity,Confidence
,Triumph,Speed Triple 1200 RS,,,"I think 22 mt10 looks cooler, cross-plane sounds cooler, and 4000 less $$$. No brainer for me",Comparision,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"Sat on one the other day, felt like I could get in trouble 😈 on a bike like that with how sporty it felt.",Comparision,,,,NEU,DISAGREEMENT,OBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"Heck now. More POWER! Haha. The only thing extra I want is a windscreen. But I agree that midrange is much better that top end. The option for a touring screen is a must for daily use. So far, I’m keeping the MT10. Well until the next gen.

",Character,,,,P,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"I had the previous model and sold because it was so harsh on poor UK roads. Perfect on the track or on a tour on perfect Spanish or Portuguese roads, but I just couldn't get it set up for the other 90% of my riding, so it's disappointing to know this is harsher still.",Ergonomics,,,,P,DISAGREEMENT,OBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,"Other than the useless 2"" pillion seat and 2000 model TFT dash...🤢🤢🤢 Its a good bike indeed.",Ergonomics,,,,N,DISAGREEMENT,SUBJECTIVE,84
,Triumph,Speed Triple 1200 RS,,,That mirror is pointless. I am sorry.,Ergonomics,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,To heavy abs comes in to early,Quality,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"It’s an amazing bike I own it but guys if you buy this bike and your iPhone user, you will be having issues getting connected to navigation system. As the bike doesn’t support iPhone device. That’s sad and bad… 😞",Technology,,,,N,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,I would buy this bike just for way it looks - amazing beauty !,Technology,,,,P,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"Looks wise, I love it. Looking fwd to test riding one soon.",Aesthetics,,,,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"Time for Hinckley to bring back some of those eye popping color options their famous for. And don't tell me their listening to customer feedback for dull, dark Asphalt grade paint choices. What's with bolting the seat cowl on and not being able to unlock the rear with a key too? Has it lost the USB?",Aesthetics,,,,NEU,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,"I love how it looks ugly, unique and gorgeous all at the same time",Aesthetics,,,,P+,AGREEMENT,SUBJECTIVE,90
,Triumph,Speed Triple 1200 RS,,,"Bike looks awesome 👍😎
A macho looking super bike 👍❤️",Aesthetics,,,,P,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"I know the bike is monster and triumph makes some of the geat performing and looking bikes but dont know how they can agree with this face i hate it every time i see these. The body design is cool but one main front it looks kind of mehh ....🤦
Please triumph change it ..
The RR version with front fairing looks so much cooler ...",Aesthetics,,,,P,DISAGREEMENT,SUBJECTIVE,84
,Triumph,Speed Triple 1200 RS,,,Personally the face looks a bit too large.,Aesthetics,,,,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,Why it's look like ET.,Aesthetics,,,,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,that front number plate looks so ugly.,Aesthetics,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"If they slapped some fairings on it, I’d be first in line.",Aesthetics,,,,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,The Ugliest headlight of any bike on earth...,Aesthetics,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"I can never buy it cause that ugly headlight, what engineer thinks that looks good?",Aesthetics,,,,N,AGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,"Aside from the funeral colors in the fog and the scrotum-level headlight (with only one low beam on), great bike!",Aesthetics,,,,P+,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,," I like it very much! Too bad for the limited range of colors, a nice metallic white and for me it was almost perfect. I say almost because the electronic suspensions would have been great ... too bad!",Aesthetics,,,,N,DISAGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,"Sooo beautiful! But I still dream of a Daytona 1050 or a worthy heir to the Sprint ST, in the more ""sporty"" version of the first generation 2005-2007",Aesthetics,,,,P+,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"I bought a 2021 street triple R in February. I came from a 05' Roadking. I love my street triple. It is the most fun I've had in years. My only concern is the seat. I can ride comfortably for maybe 3 hours before I really need to stop and give my butt a rest. I am not experiencing the shifting into neutral problem on mine however.. I suggest if you want to save a few thousand dollars just go with the R. I also like having the analog tachometer. The R is a very good choice, so much fun!",Aesthetics,,,,P,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,My Triumph is definitely better for warm weather but I will take it out if the temps are in the 50's.  The Kawasaki can be out in all weather.  The Triumph is a great second bike in my opinion.,Comfort,,,,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,This is the second review that says a negative about the ride quality. A bit of a let down because this bike will spend most of its time on the bumpy road. Adaptive suspension would have sorted that,Comfort,,,,NEU,DISAGREEMENT,OBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"had a Street Triple RS and I felt that was too stiff for the rode with Ohlins, however Triumph launched an “R” version which was just about right, they should have pulled the same trick on the Speed Triple IMHO",Ride Quality,,,,NEU,DISAGREEMENT,OBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"Excellent review! 
However springs can be changed to soften up the suspension if you are a light and small person…",Ride Quality,,,,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"You can do something about suspension springs: You can change them, for a couple of hundred £. If you want more track you can put a stiffer spring, if you want more touring a softer one and if you are not sure a progressive one... 🙂 But for a couple 200-300 is not a deal breaker in my book. For my pocket 3000-5000 extra euros for electronic suspension is a deal breaker though for sure...",Ride Quality,,,,P,DISAGREEMENT,OBJECTIVE,83
,Triumph,Speed Triple 1200 RS,,,"Rode the bike today. Didn’t find the ride too hard as in the video though I am considerably heavier than the MCN pilot. Bike was amazing, real weapon. Ordered it there and then.",Ride Quality,,,,P+,AGREEMENT,SUBJECTIVE,90
,Triumph,Speed Triple 1200 RS,,,Test rode the new Speed today. I set the compression damping to the minimum +1 click on the rear shock and it was totally fine. Quality bike.,Ride Quality,,,,P,DISAGREEMENT,OBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,Shame about the springs. Really hope triumph offers a respring option (not that expensive too!) for a more plush setup. That said I'd love to see what one can do by taking some of the installed preload out considerably and taking out some comp damp.,Ride Quality,,,,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"I can deal with a bit of suspension stiffness on the 1200 RS, hoping to pick one up soon.",Ride Quality,,,,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,I test rode this new Speed Triple & Street Triple RS back to back. Found the Street to be far more tangible & usable in stop and go Indian traffic conditions. Test ride both & see for yourself,Ride Quality,,,,P,AGREEMENT,SUBJECTIVE,98
,Triumph,Speed Triple 1200 RS,,,"Was sooo looking forward to buying one. Finally got around to taking a test ride. Sorry, but the clunky transmission with no neutral makes this bike a no-go. If I were only on the twisties, then maybe, but if that were the case, I'd just ride my GSX-R1000. Need to be able to sit in traffic and having to hunt for neutral (and eventually give up) at every light, was inexcusable for a bike that costs $20k. Forget about my Sport bikes, my HARLEY has a better tranny than this bike :(",Ride Quality,,,,N,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,"I was one of the first to get a 1200RS in the UK. I've had many big bikes and like to ride them hard. Make no mistake this is the best handling hypernaked motorcycle you can buy today. My only regret is that triumph do not yet offer the semi active suspension they are installing on the new RR, as i would have paid the extra cash for it. My only two issues with the bike are first and foremost, it is an absolute proper pain in the ass to get into neutral and secondly I wished that Triumph had given us just 1 extra litre capacity for petrol as it's only 15.5 litres, however that seems to be the way all manufacturers are going unless you buy a touring bike. Other than that, believe you and me after spending nearly nine months with the RS it is utterly awesome and totally unflappable. It makes you feel like your a riding god, but what else did anyone expect....triumph don't make crap handling bikes ;-D",Transmission,,,,P,DISAGREEMENT,SUBJECTIVE,76
,Triumph,Speed Triple 1200 RS,,,Really hope triumph can sort that neutral situation out. Wouldn’t buy one until they do. I’d try putting on that Thruxton cowling fairing to cut down wind.,Transmission,,,,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,I m surprised by the amount of comments about finding neutral. Interestingly I owned a 2011 speed triple and I had the same issue. ,Transmission,,,,P,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"I have this same issue on my daytona 675 with getting into neutral especially with racing boots on, like you said going from 2nd to neutral is easier but that’s very annoying when you’re stopping and going from light to light.",Transmission,,,,P,AGREEMENT,SUBJECTIVE,90
,Triumph,Speed Triple 1200 RS,,,"The Speed Triple RS is a beautiful bike. But I'm with you on the neutral issue. I've been riding for over 11 years and I'm not paying over 21k for a bike that's giving me that kinda issue. Thing is I had a Triumph Daytona 675R and it NEVER gave me trouble getting into neutral. I honestly think the MT09 SP is the better bike. I believe it has all the features of the Speed Triple RS, besides the full Olins suspension. Plus the MT09 SP will cost you less than the RS.",Transmission,,,,P,AGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,"Me, and dozens of other Speed Triple riders have had 0 issue getting into neutral. Chase just got bad luck of the draw on a demo bike, or he simply didn't check the clutch cable freeplay.",Transmission,,,,N,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"Had this bike for a few days. Had no issue with finding neutral. Cable clutches need to have the free play properly adjusted. If you find it hard to get into neutral, I’m pretty sure you didn’t take care to check the free play or most likely you didn’t know it’s a factor.",Transmission,,,,N,AGREEMENT,SUBJECTIVE,89
,Triumph,Speed Triple 1200 RS,,,With all these new bikes and their horse power we'll have to find an air strip to ride them. It's becoming stupid.,Transmission,,,,N,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,I think that naked bikes should be about torque like super Duke not top speed ,Power,,,,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"In India, this is the closest we would get to a ""Daytona"" experience, the other bikes that you mentioned are too expensive here (not available locally and need to be imported as CBU with 180% price tag) and like you said, not practical for road use, too much power for the traffic here.",Power,,,,N,AGREEMENT,SUBJECTIVE,97
,Triumph,Speed Triple 1200 RS,,,"As an owner of the 1050, you have just confirmed two things in my mind: 1. if you don't do track days (how many people buy a bike with this primarily in mind?), this is the wrong choice for a Triumph urban Sports bike, and 2. its got more power than can realistically be used on the road, and the older versions are a far better choice. Shame that Triumph took such a successful blend of power, looks and plush road abilities, and turned the (only new) version into a primarily track-focused bike that, it seems doesn't have the charm, all-round abilities and enjoyment that the outgoing versions had. I suspect that the depreciation on these will be high when people who buy them are disappointed that they aren't as everyday-friendly and UK road usable as all the previous the 1050's. Long live the 1050's!",Value,,,,NEU,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,"Love my 19 RS. Other than adding some padding or an aftermarket seat. And tweaking the tune, bigger sprockets and a power commander turns that 148hp to 170+hp(on the dyno) quite easily and gives a more comfortable ride. The thing is just a phenomenal ride!",Overall,,,,P+,AGREEMENT,SUBJECTIVE,98
,Triumph,Speed Triple 1200 RS,,,"I absolutely love my 07 speed triple! Although mine does have clip-ons, for my 6'4 body it's still a very comfortable bike to ride and I ride it most days to the office. I would say to whomever wants a raw feel of a bike unlike all the tech the newer models have I would recommend the 2005-2010 model speed triple. Me personally I wouldn't want a newer bike, since I love the raw feeling",Overall,,,,P,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,"Seams like Triumph hit a big one with this for the more sporty riders. They nailed the chassi, TFT screen, engine and powertrain. Its a ripper with those nice tyres.",Overall,,,,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Speed Triple 1200 RS,,,You are spot on!! I have both the Super Duke R and the Streetfighter V4 S. To be honest they are much to much for the road as you said! I think I enjoyed my MT09 much more!! I'd love the SDR and the SFV4 rather with more torque and less speed! More to enjoy on the road and not to go to a track.... It is getting stupid now! Who want to start to enjoy a bike at 9000 rpm and up?? Regards!!,Overall,,,,P,DISAGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,"2018 street triple RS. We both love the thing! The suspension, brakes, transmission; literally everything is amazing on it. Ton of fun!!",Overall,,,,P,AGREEMENT,SUBJECTIVE,97
,Triumph,Speed Triple 1200 RS,,,"First time I've felt excited about a british motorcycle in a long time. They've always been like a half assed version of the japanese bikes, where everything is just less good. But now... it's definitely not too far, because they of any need to set their mark and in my eyes they've nailed it with that bike. I don't care about minor imperfections. I care about all the good things about the bike, which will outshine any minor things. If they can just stick to this recipe and stay in this ballpark, then this will have some lifespan. It even looks great, which is a first for me from the british side.",Overall,,,,P,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Speed Triple 1200 RS,,,Now a days triumphs are lit,Overall,,,,P+,AGREEMENT,OBJECTIVE,100
,Triumph,Speed Triple 1200 RS,,,"
World From My Lens
5 months ago (edited)
The package was strong before the price hike...but the much bigger concern is how triumph missed to give a hydrolic clutch on such a super premium bike with premium pricing...I have experienced the clutch on this bike...it's not just heavy but SUPER heavy...also how can triumph miss on a old school key access even tho when one can use the modern technology...I think people shud wait for the updated variant with this bike...buying this now doesn't make sense...becox this super heavy clutch will make u cry..",Overall,,,,P,DISAGREEMENT,SUBJECTIVE,76
,Triumph,Speed Triple 1200 RS,,,"Almost 2000 miles on mine already (I have 2 other bikes taking my time too) and I absolutely love it. Added heated grips, flyscreen, and the tank bag. I tried the BMW, Ducati, Aprilia, Ktm. The triumph was most comfortable by far. Lots of comments about stiff suspension and neutral. They are actually sprung too soft and most people are bottoming out... and getting to neutral is not an issue for me. Who the hell is constantly trying to find neutral lmao??! Mine specifically goes in with a little effort. If the SF4 had cruise I might have went that way just because I like the looks better but man the Triumph fits so much better and my middle aged body needs that cruise button!",Overall,,,,P,DISAGREEMENT,SUBJECTIVE,92
,Triumph,Speed Triple 1200 RS,,,I only paid 15 grand out the door for mine and I like that on all the rider modes you can customize them and it's not like they give you a million different ways to customize them they give you just enough to make it simple to use and still get what you want out of it plus the fact you can turn traction control wheelie control off and just let that bike go oh man,Overall,,,,P,DISAGREEMENT,SUBJECTIVE,91
,Triumph,Speed Triple 1200 RS,,,"Its understandable that Supersports are more track oriented and built that way, but why on earth Every motorcycle manufacturers are trying so hard to make their street Nakeds are track focussed as possible...",Overall,,,,P,AGREEMENT,SUBJECTIVE,100
2,Triumph,Street Triple RS and R,https://www.triumphmotorcycles.com/motorcycles/roadsters/street-triple/specification,11.35 L,"It works just as well as the 2017-2019 models, even better... I have the 2020 and my wife has the 2018... The one area where they completely dropped the ball, is the new dash layouts... The new screens are horrible. Pretty to look at when it is parked, but horrible and largely unusable when riding. Whatever graphic artist they assigned to that project, has clearly never ridden a bike...",,,https://www.youtube.com/watch?v=fZNdGO2X0No,Australia,N,DISAGREEMENT,SUBJECTIVE,92
,Triumph,Street Triple RS and R,https://www.youtube.com/watch?v=kqc2i9XeigM,8.9 L,Saw one yesterday ❤️ That silver paint pops in the sunshine,,,,Australia,P,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,The best video of this amazing bike. I got this baby and I have been giggling like a school girl YEEHAA!!!,,,,Australia,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Street Triple RS and R,,,"2020 has the same power as the previous one, but 9% more torque.",,,,Australia,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,I have a 2012 R. Don’t want no fancy electronics.,,,,Australia,N,AGREEMENT,OBJECTIVE,92
,Triumph,Street Triple RS and R,,,I love the Street Triple. It is avesome. ... But the KTM Duke 890R is more fun.,,,,Australia,P+,AGREEMENT,SUBJECTIVE,95
,Triumph,Street Triple RS and R,,,Mirrors are triggering me ...,,,,Australia,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,"I've got the 2020 Street Triple R, I previously had the 2018 R and after reading reviews of the 2020 RS (improved mid range etc.) I'd decided to go for it pending a days test ride. after the test I was ready to hand over the cash, Triumph really had improved the mid range to the point that was now on par with the 2018 R but still with that very top of the rev band rush over the R but before I'd completed the deal the dealer asked if I'd tested the new R yet ,which I hadn't, thankfully I took the opportunity to test the R as it's also been upgraded, the first thing you notice is that first and second gear have been shortened to improve bottom end (the R was always faster 0 to 60mph than the RS) but it's now to the point were it's obvious, they've also improved mid range, once again giving the R an advantage over the RS, the RS is definitely the bike to go for if you do a lot of track days but for a road bike and every day use the R has it over the RS, the one negative point with the new R is the lack of a TFT which was on the previous model but the new quickshifter/auto blipper more than makes up for it, hopefully next years R will have the lovely TFT off the Trident .I added bar end mirrors and a seat cowl to my new R which IMO improves its looks and functionality.",,,https://www.youtube.com/watch?v=Ng20urbr-L8,Australia,P,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Street Triple RS and R,,,"I've ridden both this one and the 2018 version. And while they may not be my favourite visually. I really am not a fan of the headlights. The way they ride.. man, sound great, handling is great, comfort is great, this bike has everything. Gives a lot of confidence. Only reason i haven't bought one yet is because there's bikes that are better looking to me. But the street triple RS is a dream while on it.",,,,Australia,P,DISAGREEMENT,OBJECTIVE,86
,Triumph,Street Triple RS and R,,,I have a trident and thinking of upgrading to the r or rs. Most probably the r since I don’t do track days or ride too much on a highway. Only thing on the r that’s outdated is the dash. I love a simple dash but this is just old. ,,,,Australia,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,I really have a problem with the front optics of this motorcycle! but the rest it is true that it is a beautiful motorcycle!,,,https://www.youtube.com/watch?v=hYp1YBLtCvg,France,NEU,DISAGREEMENT,OBJECTIVE,94
,Triumph,Street Triple RS and R,,,Hello hello nice video but I find that it is small for a large size (1m80) compared to the z900 which looks more imposing to me I really have trouble on this vision,,,,France,N+,AGREEMENT,SUBJECTIVE,98
,Triumph,Street Triple RS and R,,,I have the street rs 2021 it's a treat in terms of chassis accel braking shifter I find that it is super well equipped hence the price ... and in terms of design it's aggressive I find,,,,France,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,"u I have the R 2022 a madness no need more, the engine character and the chassis are just huge ;)",,,,France,NEU,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,765rs vs 890r which one do you take in the end if you are given one? For my part (Hendi) the duke without hesitation,,,,France,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,Nice bike but I really have trouble with the optics and above all it's banging on degraded roads and it skips,,,,France,N,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,I have the 2020 model and there is security even with the tcs off Ducoup the weeling is a bit complicated it cuts the gas automatically..,,,,France,N,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,"Street triple RS or Duke R 890? And why ? It's a very difficult choice, but I would say the 890. Complicated to explain everything in writing but its engine and the general character of the bike",,,,France,N+,AGREEMENT,OBJECTIVE,98
,Triumph,Street Triple RS and R,,,"I have just spent (2 months) from a CP3 SP to this Street and I totally agree with you except on the comfort... (actually it absorbs small bumps better than MT, but on the other hand on the bumps, be careful it hits in support, beware of ""kidney strokes""!). For the rev counter, have a screen with a large display... Top test bravo. 👍✌️😉 I won't come back to the MT even for the engine, actually maybe more fun at low speed...",,,https://www.youtube.com/watch?v=UJ4VsUhD7dw,France,P,DISAGREEMENT,SUBJECTIVE,81
,Triumph,Street Triple RS and R,,,'ve had this bike for eight months and after 22 years of not riding it really is the best bike I've ever bought.,,,,France,N+,AGREEMENT,SUBJECTIVE,92
,Triumph,Street Triple RS and R,,,It's a motorcycle that I found ugly. I went to try it on and bought it 😅 She's awesome.,,,,France,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,"small precision, the matte gray is on the Street Triple R. For the RS, it goes in gray / shiny silver and it's beautiful.",,,,France,P,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,"I tried this bike two weeks ago at Triumph Ambutrix and I had the same opinion as you, on the suspensions I felt like I was on a magic carpet on the road so much it filters the imperfections in the bitumen, the 3-cylinder still works in the revs and gives the impression of being like a 4-cylinder, so a little disappointed... I had everything original on it and the saddle was already super comfortable, engine noise super original exhaust and airbox, and the shifter is cool even if I shift gears quite high to the shifter below I find that it is not good for the gearbox and when descending I prefer use the clutch to control the release of torque. Afterwards I had my feet on the ground for 1m72 and super light for parking maneuvers at the same time I ride a Shiver 900 so everything I try seems light and low saddle 😁 I would say that the Yamaha engine on the chassis of the Triumph it is ideal, I find that it lacks sensations at legal speed.",,,,France,P,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Street Triple RS and R,,,It's a bike that has often tempted me (R version because it's more punchy) but 2 things are preventing me from taking the leap: - I still can't get used to the front end (need the face of the trident ^ ^). - the welds on the front of the frame are too visible (triumph has gotten us too used to top finishes and for me it's a little missed).,,,,France,N,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Street Triple RS and R,,,The sound is very nice of this 3,,,,France,P+,AGREEMENT,SUBJECTIVE,98
,Triumph,Street Triple RS and R,,,"have had a Street Triple RS from 2019, it's true that with the position on the front and this 4-cylinder character, it gives too much confidence and you want to fool around with it by exceeding your limits ^ ^ I had an MT-09 before the Street, clearly the Street is superior but finally, the Street is so efficient that in sustained rolling, it is less forgiving of trajectory errors than the MT. And besides, I'm thinking of taking the new Ducati Monster which seems to be a good compromise between the MT-09 and the Street ;) V",,,,France,P,DISAGREEMENT,SUBJECTIVE,94
,Triumph,Street Triple RS and R,,,I own the 2019 R and I have the impression that the engine of my R is more punchy at low revs than this RS (I have the arrow pot) very pleasant motorcycle to ride you can walk around or shoot stuffing,,,,France,P+,AGREEMENT,SUBJECTIVE,98
,Triumph,Street Triple RS and R,,,it is not the R that exists in a lowered version? The RS is announced at a seat height of 825 mm. I'm small too,,,,France,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,"This was also my opinion after the test with Fabike. The best, really.",,,,France,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Street Triple RS and R,,,This cable that passes almost in front of the screen... it's a shame!,,,,France,N,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,The sound of this bike is terrible,,,,France,N+,AGREEMENT,SUBJECTIVE,100
,Triumph,Street Triple RS and R,,,"so what did you think of it compared to its big sister speed?✌️ More playful, but less practical for cool riding (torque",,,,France,P+,DISAGREEMENT,SUBJECTIVE,86
,Triumph,Street Triple RS and R,,,so XSR or street? ;) If it's the same price it's hard to choose,,,,France,P,AGREEMENT,SUBJECTIVE,100
,Triumph,Street Triple RS and R,,,it is still too smal ? the street is a little yes 1.85 m ,,,,France,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,the best not quite since the duke 890R came out,,,,France,P+,AGREEMENT,SUBJECTIVE,100
,Triumph,Street Triple RS and R,,,I admit that from the side it's weird,,,,France,N,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,Really average screen!,,,,France,NONE,AGREEMENT,OBJECTIVE,100
,Triumph,Street Triple RS and R,,,"I don't find the mask ugly at all. This gives the bike something special and sets it apart from the other 0815 bikes. The engine sound is also unique. I had a Kawa z750r before my Speedy ne and the bike was just plain boring. The Speedy with its 3z is much more fun and you don't get the feeling of riding a mainstream bike. Take a look at the Streety or Speedy in real life and test drive them, you'll be amazed right away. Thanks for the test",,,https://www.youtube.com/watch?v=zXzqnOBATT0,Germany,P,DISAGREEMENT,SUBJECTIVE,86
